Gmt time,Open,High,Low,Close,Volume
05.04.2018 09:15:00.000,107.103,107.116,107.038,107.046,1382.4
05.04.2018 09:30:00.000,107.045,107.049,106.972,106.980,1742.82
05.04.2018 09:45:00.000,106.980,107.056,106.951,107.050,1954.92
05.04.2018 10:00:00.000,107.053,107.061,107.031,107.058,1890.9999999999998
05.04.2018 10:15:00.000,107.058,107.059,107.006,107.015,2064.2999999999997
05.04.2018 10:30:00.000,107.006,107.016,106.966,106.980,1828.18
05.04.2018 10:45:00.000,106.980,107.002,106.969,106.995,1819.9800000000002
05.04.2018 11:00:00.000,106.997,107.014,106.973,107.002,1678.9599999999998
05.04.2018 11:15:00.000,107.003,107.047,106.999,107.035,1575.14
05.04.2018 11:30:00.000,107.036,107.094,107.036,107.076,1563.9599999999996
05.04.2018 11:45:00.000,107.074,107.079,107.013,107.042,1494.3199999999997
05.04.2018 12:00:00.000,107.050,107.081,107.005,107.065,1652.8600000000001
05.04.2018 12:15:00.000,107.065,107.146,107.031,107.105,2960.17
05.04.2018 12:30:00.000,107.105,107.137,107.023,107.067,2958.88
05.04.2018 12:45:00.000,107.068,107.087,107.028,107.081,2197.93
05.04.2018 13:00:00.000,107.080,107.111,107.062,107.078,2359.6000000000004
05.04.2018 13:15:00.000,107.077,107.124,107.067,107.122,2193.3299999999995
05.04.2018 13:30:00.000,107.119,107.122,107.039,107.050,3325.4700000000007
05.04.2018 13:45:00.000,107.049,107.131,107.000,107.129,2877.2200000000003
05.04.2018 14:00:00.000,107.130,107.238,107.111,107.217,2987.59
05.04.2018 14:15:00.000,107.217,107.266,107.202,107.253,2892.0299999999997
05.04.2018 14:30:00.000,107.252,107.400,107.247,107.397,2941.0899999999997
05.04.2018 14:45:00.000,107.395,107.491,107.378,107.455,3573.5299999999997
05.04.2018 15:00:00.000,107.456,107.462,107.393,107.408,3031.2000000000003
05.04.2018 15:15:00.000,107.409,107.433,107.394,107.419,2356.0699999999997
05.04.2018 15:30:00.000,107.420,107.478,107.407,107.459,2113.58
05.04.2018 15:45:00.000,107.459,107.485,107.429,107.480,1759.0400000000002
05.04.2018 16:00:00.000,107.480,107.482,107.444,107.450,1569.2
05.04.2018 16:15:00.000,107.448,107.448,107.340,107.387,2518.7799999999997
05.04.2018 16:30:00.000,107.386,107.421,107.361,107.406,70606.7113
05.04.2018 16:45:00.000,107.405,107.438,107.394,107.427,1463.2600000000004
05.04.2018 17:00:00.000,107.427,107.452,107.413,107.436,1253.33
05.04.2018 17:15:00.000,107.436,107.439,107.387,107.411,1894.25
05.04.2018 17:30:00.000,107.411,107.433,107.320,107.342,1945.4500000000003
05.04.2018 17:45:00.000,107.342,107.394,107.337,107.373,1733.4
05.04.2018 18:00:00.000,107.374,107.426,107.365,107.401,1799.83
05.04.2018 18:15:00.000,107.403,107.424,107.388,107.394,1403.93
05.04.2018 18:30:00.000,107.394,107.445,107.389,107.440,1151.3899999999999
05.04.2018 18:45:00.000,107.440,107.448,107.420,107.440,1259.43
05.04.2018 19:00:00.000,107.439,107.457,107.415,107.439,1161.05
05.04.2018 19:15:00.000,107.440,107.449,107.409,107.420,909.1300000000001
05.04.2018 19:30:00.000,107.420,107.466,107.379,107.460,1057.75
